STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,MEASURE,UNIT_MEASURE,SEX,AGE,TIME_HORIZ,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MULT,DECIMALS
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,BEL,POP,PS,_T,_T,H,1981,9858982.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,BEL,POP,PS,_T,_T,H,1982,9856303.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,BEL,POP,PS,_T,_T,H,1983,9855521.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,BEL,POP,PS,_T,_T,H,1984,9855372.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,BEL,POP,PS,_T,_T,H,1985,9858309.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,BEL,POP,PS,_T,_T,H,1986,9861824.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,BEL,POP,PS,_T,_T,H,1987,9870234.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,BEL,POP,PS,_T,_T,H,1988,9901665.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,BEL,POP,PS,_T,_T,H,1989,9937697.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,BEL,POP,PS,_T,_T,H,1990,9967378.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,BEL,POP,PS,_T,_T,H,1991,10004486.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,BEL,POP,PS,_T,_T,H,1992,10045165.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,BEL,POP,PS,_T,_T,H,1993,10084479.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,BEL,POP,PS,_T,_T,H,1994,10115601.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,BEL,POP,PS,_T,_T,H,1995,10136814.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,BEL,POP,PS,_T,_T,H,1996,10156641.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,BEL,POP,PS,_T,_T,H,1997,10181246.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,BEL,POP,PS,_T,_T,H,1998,10203012.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,BEL,POP,PS,_T,_T,H,1999,10226419.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,BEL,POP,PS,_T,_T,H,2000,10251251.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,BEL,POP,PS,_T,_T,H,2001,10286571.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,BEL,POP,PS,_T,_T,H,2002,10332786.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,BEL,POP,PS,_T,_T,H,2003,10376131.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,BEL,POP,PS,_T,_T,H,2004,10421136.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,BEL,POP,PS,_T,_T,H,2005,10478620.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,BEL,POP,PS,_T,_T,H,2006,10547956.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,BEL,POP,PS,_T,_T,H,2007,10624835.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,BEL,POP,PS,_T,_T,H,2008,10709108.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,BEL,POP,PS,_T,_T,H,2009,10796498.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,BEL,POP,PS,_T,_T,H,2010,10895591.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,BEL,POP,PS,_T,_T,H,2011,10993609.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,BEL,POP,PS,_T,_T,H,2012,11067748.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,BEL,POP,PS,_T,_T,H,2013,11125033.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,BEL,POP,PS,_T,_T,H,2014,11179778.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,BEL,POP,PS,_T,_T,H,2015,11238474.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,BEL,POP,PS,_T,_T,H,2016,11295003.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,BEL,POP,PS,_T,_T,H,2017,11349081.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,BEL,POP,PS,_T,_T,H,2018,11403740.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,BEL,POP,PS,_T,_T,H,2019,11462023.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,BEL,POP,PS,_T,_T,H,2020,11506938.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,BEL,POP,PS,_T,_T,H,2021,11552615.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,BEL,POP,PS,_T,_T,H,2022,11640788.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,CHL,POP,PS,_T,_T,H,1950,6081931.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,CHL,POP,PS,_T,_T,H,1951,6218333.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,CHL,POP,PS,_T,_T,H,1952,6354736.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,CHL,POP,PS,_T,_T,H,1953,6491137.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,CHL,POP,PS,_T,_T,H,1954,6627540.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,CHL,POP,PS,_T,_T,H,1955,6763940.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,CHL,POP,PS,_T,_T,H,1956,6939809.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,CHL,POP,PS,_T,_T,H,1957,7115675.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,CHL,POP,PS,_T,_T,H,1958,7291542.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,CHL,POP,PS,_T,_T,H,1959,7467409.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,CHL,POP,PS,_T,_T,H,1960,7643277.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,CHL,POP,PS,_T,_T,H,1961,7843945.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,CHL,POP,PS,_T,_T,H,1962,8044614.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,CHL,POP,PS,_T,_T,H,1963,8245284.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,CHL,POP,PS,_T,_T,H,1964,8445953.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,CHL,POP,PS,_T,_T,H,1965,8646622.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,CHL,POP,PS,_T,_T,H,1966,8831223.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,CHL,POP,PS,_T,_T,H,1967,9015825.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,CHL,POP,PS,_T,_T,H,1968,9200427.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,CHL,POP,PS,_T,_T,H,1969,9385028.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,CHL,POP,PS,_T,_T,H,1970,9569631.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,CHL,POP,PS,_T,_T,H,1971,9738347.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,CHL,POP,PS,_T,_T,H,1972,9907065.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,CHL,POP,PS,_T,_T,H,1973,10075782.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,CHL,POP,PS,_T,_T,H,1974,10244501.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,CHL,POP,PS,_T,_T,H,1975,10413219.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,CHL,POP,PS,_T,_T,H,1976,10565409.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,CHL,POP,PS,_T,_T,H,1977,10717600.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,CHL,POP,PS,_T,_T,H,1978,10869791.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,CHL,POP,PS,_T,_T,H,1979,11021982.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,CHL,POP,PS,_T,_T,H,1980,11174173.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,CHL,POP,PS,_T,_T,H,1981,11359773.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,CHL,POP,PS,_T,_T,H,1982,11545372.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,CHL,POP,PS,_T,_T,H,1983,11730972.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,CHL,POP,PS,_T,_T,H,1984,11916572.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,CHL,POP,PS,_T,_T,H,1985,12102174.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,CHL,POP,PS,_T,_T,H,1986,12317494.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,CHL,POP,PS,_T,_T,H,1987,12532815.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,CHL,POP,PS,_T,_T,H,1988,12748135.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,CHL,POP,PS,_T,_T,H,1989,12963457.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,CHL,POP,PS,_T,_T,H,1990,13178782.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,CHL,POP,PS,_T,_T,H,1991,13422010.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,CHL,POP,PS,_T,_T,H,1992,13737062.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,CHL,POP,PS,_T,_T,H,1993,13956766.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,CHL,POP,PS,_T,_T,H,1994,14171821.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,CHL,POP,PS,_T,_T,H,1995,14381249.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,CHL,POP,PS,_T,_T,H,1996,14584947.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,CHL,POP,PS,_T,_T,H,1997,14782706.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,CHL,POP,PS,_T,_T,H,1998,14974898.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,CHL,POP,PS,_T,_T,H,1999,15162353.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,CHL,POP,PS,_T,_T,H,2000,15343326.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,CHL,POP,PS,_T,_T,H,2001,15520049.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,CHL,POP,PS,_T,_T,H,2002,15691701.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,CHL,POP,PS,_T,_T,H,2003,15856977.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,CHL,POP,PS,_T,_T,H,2004,16022133.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,CHL,POP,PS,_T,_T,H,2005,16183489.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,CHL,POP,PS,_T,_T,H,2006,16347890.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,CHL,POP,PS,_T,_T,H,2007,16517933.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,CHL,POP,PS,_T,_T,H,2008,16697754.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,CHL,POP,PS,_T,_T,H,2009,16881078.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,CHL,POP,PS,_T,_T,H,2010,17063927.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,CHL,POP,PS,_T,_T,H,2011,17254159.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,CHL,POP,PS,_T,_T,H,2012,17443491.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,CHL,POP,PS,_T,_T,H,2013,17611902.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,CHL,POP,PS,_T,_T,H,2014,17787617.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,CHL,POP,PS,_T,_T,H,2015,17971423.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,CHL,POP,PS,_T,_T,H,2016,18167147.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,CHL,POP,PS,_T,_T,H,2017,18419192.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,CHL,POP,PS,_T,_T,H,2018,18751405.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,CHL,POP,PS,_T,_T,H,2019,19107216.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,CHL,POP,PS,_T,_T,H,2020,19458310.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,CHL,POP,PS,_T,_T,H,2021,19678363.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,CHL,POP,PS,_T,_T,H,2022,19828563.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,COL,POP,PS,_T,_T,H,1950,13570943.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,COL,POP,PS,_T,_T,H,1951,13912947.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,COL,POP,PS,_T,_T,H,1952,14269792.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,COL,POP,PS,_T,_T,H,1953,14641427.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,COL,POP,PS,_T,_T,H,1954,15027963.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,COL,POP,PS,_T,_T,H,1955,15429614.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,COL,POP,PS,_T,_T,H,1956,15846569.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,COL,POP,PS,_T,_T,H,1957,16278927.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,COL,POP,PS,_T,_T,H,1958,16726382.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,COL,POP,PS,_T,_T,H,1959,17188568.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,COL,POP,PS,_T,_T,H,1960,17665037.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,COL,POP,PS,_T,_T,H,1961,18154322.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,COL,POP,PS,_T,_T,H,1962,18654499.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,COL,POP,PS,_T,_T,H,1963,19164082.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,COL,POP,PS,_T,_T,H,1964,19680870.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,COL,POP,PS,_T,_T,H,1965,20201643.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,COL,POP,PS,_T,_T,H,1966,20723588.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,COL,POP,PS,_T,_T,H,1967,21244248.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,COL,POP,PS,_T,_T,H,1968,21761690.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,COL,POP,PS,_T,_T,H,1969,22274200.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,COL,POP,PS,_T,_T,H,1970,22780007.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,COL,POP,PS,_T,_T,H,1971,23277852.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,COL,POP,PS,_T,_T,H,1972,23767130.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,COL,POP,PS,_T,_T,H,1973,24248669.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,COL,POP,PS,_T,_T,H,1974,24724874.0,A,0,0
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),,I,COL,POP,PS,_T,_T,H,1975,25199544.0,A,0,0
