STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,,FREQ,,MEASURE,,UNIT_MEASURE,,TRANSPORT_MODE,,VEHICLE_TYPE,,INFRASTRUCTURE_TYPE,,TIME_PERIOD,,OBS_VALUE,,OBS_STATUS,,UNIT_MULT,,DECIMALS,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,AUS,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,1980,,3272,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,AUS,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,1981,,3321,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,AUS,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,1982,,3252,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,AUS,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,1983,,2755,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,AUS,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,1984,,2822,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,AUS,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,1985,,2941,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,AUS,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,1986,,2888,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,AUS,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,1987,,2772,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,AUS,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,1988,,2887,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,AUS,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,1989,,2800,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,AUS,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,1990,,2331,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,AUS,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,1991,,2113,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,AUS,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,1992,,1974,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,AUS,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,1993,,1953,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,AUS,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,1994,,1928,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,AUS,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,1995,,2017,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,AUS,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,1996,,1970,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,AUS,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,1997,,1767,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,AUS,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,1998,,1755,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,AUS,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,1999,,1764,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,AUS,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,2000,,1817,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,AUS,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,2001,,1737,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,AUS,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,2002,,1715,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,AUS,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,2003,,1621,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,AUS,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,2004,,1583,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,AUS,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,2005,,1627,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,AUS,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,2006,,1598,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,AUS,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,2007,,1603,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,AUS,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,2008,,1437,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,AUS,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,2009,,1490,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,AUS,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,2010,,1349,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,AUS,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,2011,,1277,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,AUS,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,2012,,1300,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,AUS,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,2013,,1184,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,AUS,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,2014,,1150,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,AUS,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,2015,,1205,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,AUS,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,2016,,1295,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,AUS,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,2017,,1223,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,AUS,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,2018,,1135,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,AUS,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,2019,,1187,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,AUS,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,2020,,1097,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,AUS,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,2021,,1130,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,AUS,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,2022,,1178,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,AUS,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,2023,,1258,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,AUT,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,1970,,2507,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,AUT,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,1971,,2782,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,AUT,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,1972,,2948,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,AUT,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,1973,,2765,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,AUT,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,1974,,2499,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,AUT,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,1975,,2467,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,AUT,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,1976,,2131,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,AUT,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,1977,,2091,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,AUT,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,1978,,2112,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,AUT,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,1979,,2129,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,AUT,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,1980,,1951,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,AUT,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,1981,,1898,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,AUT,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,1982,,1883,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,AUT,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,1983,,1967,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,AUT,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,1984,,1814,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,AUT,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,1985,,1524,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,AUT,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,1986,,1495,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,AUT,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,1987,,1469,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,AUT,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,1988,,1620,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,AUT,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,1989,,1570,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,AUT,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,1990,,1558,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,AUT,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,1991,,1551,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,AUT,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,1992,,1403,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,AUT,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,1993,,1283,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,AUT,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,1994,,1338,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,AUT,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,1995,,1210,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,AUT,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,1996,,1027,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,AUT,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,1997,,1105,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,AUT,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,1998,,963,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,AUT,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,1999,,1079,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,AUT,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,2000,,976,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,AUT,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,2001,,958,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,AUT,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,2002,,956,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,AUT,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,2003,,931,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,AUT,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,2004,,878,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,AUT,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,2005,,768,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,AUT,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,2006,,730,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,AUT,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,2007,,691,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,AUT,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,2008,,679,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,AUT,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,2009,,633,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,AUT,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,2010,,552,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,AUT,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,2011,,523,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,AUT,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,2013,,455,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,AUT,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,2014,,430,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,AUT,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,2015,,479,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,AUT,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,2016,,432,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,AUT,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,2017,,414,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,AUT,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,2018,,409,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,AUT,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,2019,,416,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,AUT,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,2020,,344,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,AUT,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,2021,,362,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,AUT,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,2022,,370,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,AUT,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,2023,,402,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,BEL,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,1970,,2950,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,BEL,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,1971,,3070,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,BEL,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,1972,,3130,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,BEL,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,1973,,2920,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,BEL,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,1974,,2670,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,BEL,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,1975,,2346,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,BEL,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,1976,,2490,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,BEL,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,1977,,2520,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,BEL,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,1978,,2590,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,BEL,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,1979,,2330,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,BEL,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,1980,,2396,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,BEL,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,1981,,2216,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,BEL,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,1982,,2064,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,BEL,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,1983,,2090,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,BEL,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,1984,,1893,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,BEL,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,1985,,1801,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,BEL,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,1986,,1951,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,BEL,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,1987,,1922,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,BEL,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,1988,,1967,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,BEL,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,1989,,1993,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,BEL,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,1990,,1976,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,BEL,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,1991,,1874,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,BEL,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,1992,,1672,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,BEL,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,1993,,1660,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,BEL,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,1994,,1692,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,BEL,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,1995,,1505,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,BEL,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,1996,,1356,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,BEL,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,1997,,1364,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,BEL,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,1998,,1500,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,BEL,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,1999,,1397,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,BEL,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,2000,,1470,,A,,0,,1,
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),,I,BEL,,A,,FATALITIES,,PS,,ROAD,,_T,,_T,,2001,,1486,,A,,0,,1,
