﻿設備編號,行政區,設置地點,取締項目,座標緯度,座標經度,拍攝方向,速限,管轄單位,備註
"62","北屯區","北屯區東山路二段151-3號前(往市區)","不依標誌、標線、號誌指示行駛、超速","24.19882","120.76537","東往西","50","第五分局",""
"63","北屯區","北屯區太原路三段與旱溪東路二段","闖紅燈、不依標誌、標線、號誌指示行駛、超速","24.17162","120.70083","東往西","60","第五分局",""
"64","北屯區","北屯區祥順路二段398號前","不依標誌、標線、號誌指示行駛、超速","24.17628","120.73496","北往南","50","第五分局",""
"65","北屯區","北屯區太原路三段1225號(新平基督長老教會前)","不依標誌、標線、號誌指示行駛、超速","24.16174","120.72518","西往東","60","第五分局",""
"66","北屯區","北屯區東山路二段(大坑國小往新社)","不依標誌、標線、號誌指示行駛、超速","24.19648","120.74758","西往東","50","第五分局",""
"67","北屯區","北屯區北屯路與松竹路口(往市區方向)","闖紅燈、不依標誌、標線、號誌指示行駛、超速","24.1816","120.70176","北往南","60","第五分局",""
"68","北屯區","北屯區崇德路與崇德八路口","闖紅燈、不依標誌、標線、號誌指示行駛、超速","24.18366","120.68618","南往北","50","第五分局",""
"69","北屯區","北屯區文心路四段715號前","不依標誌、標線、號誌指示行駛、超速","24.17179","120.68933","東往西","50","第五分局",""
"70","西屯區","西屯區臺灣大道三段與河南路三段路口","闖紅燈、不依標誌、標線、號誌指示行駛、超速","24.16781","120.64096","西往東","60","第六分局",""
"71","西屯區","西屯區臺灣大道四段與東大路一段路口","闖紅燈、不依標誌、標線、號誌指示行駛、超速","24.18277","120.60265","西往東","50","第六分局",""
"72","西屯區","西屯區中清路二段與環中路一段路口(往大雅區)","闖紅燈、不依標誌、標線、號誌指示行駛、超速","24.1996","120.65567","南往北","50","第六分局",""
"73","西屯區","西屯區環中路三段龍洋巷50-15號前","不依標誌、標線、號誌指示行駛、超速","24.1685","120.6312","雙向","60","第六分局",""
"74","西屯區","西屯區環中路二段766號","不依標誌、標線、號誌指示行駛、超速","24.19335","120.6428","南往北","60","第六分局",""
"75","西屯區","西屯區市政路123號前","不依標誌、標線、號誌指示行駛、超速","24.1585","120.63984","西往東","60","第六分局",""
"76","西屯區","西屯區西屯路三段261號前","不依標誌、標線、號誌指示行駛、超速","24.19009","120.61301","西往東","50","第六分局",""
"77","西屯區","西屯區臺灣大道四段近東大路一段(側門慢車道)","不依標誌、標線、號誌指示行駛、超速","24.19256","120.6068","西往東","40","第六分局",""
"78","西屯區","西屯區臺灣大道四段2088號前(往市區)","不依標誌、標線、號誌指示行駛、超速","24.18198","120.59718","西往東","50","第六分局",""
"79","西屯區","西屯區中彰快速道路13.3K(往中清路方向)","不依標誌、標線、號誌指示行駛、超速","24.19432","120.64403","西往東","80","第六分局",""
"80","西屯區","西屯區中彰快速道路12.7K(往烏日方向)","不依標誌、標線、號誌指示行駛、超速","24.19427","120.64369","東往西","80","第六分局",""
"81","西屯區","西屯區黎明路三段與僑大五路口","不依標誌、標線、號誌指示行駛、超速","24.19153","120.64371","東往西","50","第六分局",""
"82","西屯區","西屯區安和路99-38號前","不依標誌、標線、號誌指示行駛、超速","24.17184","120.62097","南往北","50","第六分局",""
"83","西屯區","西屯區福雅路與西林巷口","闖紅燈、不依標誌、標線、號誌指示行駛","24.20194","120.62783","北往南","50","第六分局",""
"84","西屯區","西屯區臺灣大道四段與中工三路口","闖紅燈、不依標誌、標線、號誌指示行駛","24.18091","120.6197","西往東","50","第六分局",""
"85","西屯區","西屯區河南路二段與長安路二段路口","闖紅燈、不依標誌、標線、號誌指示行駛","24.17251","120.66071","西往東","50","第六分局",""
"86","西屯區","西屯區都會園路(西屯路距都會公園1.35公里)","不依標誌、標線、號誌指示行駛、超速","24.19609","120.5947","北往南","50","第六分局",""
"87","西屯區","西屯區福科路617號前(往福林路方向中央分隔島)","不依標誌、標線、號誌指示行駛、超速","24.18682","120.61266","西往東","50","第六分局",""
"88","西屯區","西屯區東大路一段450號前(往西屯路三段方向)","不依標誌、標線、號誌指示行駛、超速","24.19009","120.60586","南往北","50","第六分局",""
"89","西屯區","西屯區工業區一路100號對面","不依標誌、標線、號誌指示行駛、超速","24.17032","120.61035","西往東","40","第六分局",""
"90","西屯區","西屯區安和路41之8號","不依標誌、標線、號誌指示行駛、超速","24.16497","120.61848","北往南","50","第六分局",""
"91","西屯區","西屯區環中路與朝馬路口","闖紅燈、不依標誌、標線、號誌指示行駛、超速","24.17048","120.6319","西往東","50","第六分局",""
"92","西屯區","西屯區西屯路三段與遠東街口","闖紅燈、不依標誌、標線、號誌指示行駛、超速","24.19009","120.65649","南往北","50","第六分局",""
"93","豐原區","豐原區圓環北路二段與大順街口","闖紅燈、不依標誌、標線、號誌指示行駛","24.26051","120.72401","南往北","50","豐原分局",""
"94","豐原區","豐原區豐勢路二段與豐年路口","闖紅燈、不依標誌、標線、號誌指示行駛","24.26102","120.73674","南往北","50","豐原分局",""
"95","豐原區","豐原區豐原大道八段(愛心紀念公園前)","不依標誌、標線、號誌指示行駛、超速","24.25644","120.70613","雙向","60","豐原分局",""
"96","豐原區","豐原區豐勢路二段與萬順一街口","闖紅燈、不依標誌、標線、號誌指示行駛","24.27683","120.75946","北往南","50","豐原分局",""
"97","豐原區","豐原區豐原大道四段近379號前","不依標誌、標線、號誌指示行駛、超速","24.24743","120.7364","東往西","60","豐原分局",""
"98","豐原區","豐原區豐原大道六段516號前","不依標誌、標線、號誌指示行駛、超速","24.26452","120.72539","東往西","60","豐原分局",""
"99","豐原區","豐原區國豐路一段501號(拖吊場前)","不依標誌、標線、號誌指示行駛、超速","24.27778","120.72178","西往東","50","豐原分局",""
"100","豐原區","豐原區豐勢路與國豐路口","闖紅燈、不依標誌、標線、號誌指示行駛、超速","24.26852","120.74964","北往南","50","豐原分局",""
"101","豐原區","豐原區三豐路二段510號前","不依標誌、標線、號誌指示行駛、超速","24.27519","120.72198","西往東","50","豐原分局",""
"102","豐原區","豐原區豐原大道與西勢路口","闖紅燈、不依標誌、標線、號誌指示行駛、超速","24.24632","120.71133","西往東","50","豐原分局",""
"103","豐原區","豐原區中山路與豐原大道路口","闖紅燈、不依標誌、標線、號誌指示行駛、超速","24.24499","120.7144","北往南","60","豐原分局",""
"104","豐原區","豐原區豐原大道四段51號前","不依標誌、標線、號誌指示行駛、超速","24.245","120.73102","南往北","60","豐原分局",""
"105","豐原區","豐原區圓環北路一段與豐洲路口","不依標誌、標線、號誌指示行駛、超速","24.245","120.73102","南往北","50","豐原分局",""
"106","潭子區","潭子區中山路二段與潭子街一段路口","闖紅燈、不依標誌、標線、號誌指示行駛","24.20987","120.70538","北往南","60","大雅分局",""
"107","潭子區","潭子區崇德路四段與雅潭路口","闖紅燈、不依標誌、標線、號誌指示行駛","24.21536","120.68802","北往南","60","大雅分局",""
"108","潭子區","潭子區中山路三段與祥和路口","闖紅燈、不依標誌、標線、號誌指示行駛","24.22989","120.70851","北往南","60","大雅分局",""
"109","潭子區","潭子區豐興路二段(中89線4.2K南下)","不依標誌、標線、號誌指示行駛、超速","24.20936","120.72176","北往南","50","大雅分局",""
"110","潭子區","潭子區豐興路二段(中89線3.96K北上)","不依標誌、標線、號誌指示行駛、超速","24.21057","120.72198","南往北","50","大雅分局",""
"111","潭子區","潭子區中山路一段261號前","不依標誌、標線、號誌指示行駛、超速","24.19817","120.70291","北往南","60","大雅分局",""
"112","潭子區","潭子區中彰快速道路19.4K(往霧峰方向)","不依標誌、標線、號誌指示行駛、超速","24.20046","120.71087","西往東","80","大雅分局",""
"113","潭子區","潭子區中彰快速道路19.4K(往快官方向)","不依標誌、標線、號誌指示行駛、超速","24.2006","120.71106","東往西","80","大雅分局",""
"114","潭子區","潭子區中山路二段與雅潭路一段口","闖紅燈、不依標誌、標線、號誌指示行駛","24.21559","120.70524","北往南","60","大雅分局",""
"115","神岡區","神岡區崇德路3之1號前","不依標誌、標線、號誌指示行駛、超速","24.22981","120.69086","雙向","60","大雅分局",""
"116","神岡區","神岡區民生路122號前(台10線17.4K處)","不依標誌、標線、號誌指示行駛、超速","24.24113","120.6751","雙向","60","大雅分局",""
"117","大雅區","大雅區中科路1088號前(往永和路方向快慢分隔島)","不依標誌、標線、號誌指示行駛、超速","24.20511","120.63195","東往西","60","大雅分局",""
"118","大雅區","大雅區雅潭路三段與雅潭路三段400巷口","不依標誌、標線、號誌指示行駛、超速","24.21614","120.6757","東往西","50","大雅分局",""
"119","大雅區","大雅區中清路四段397號前","不依標誌、標線、號誌指示行駛、超速","24.23208","120.63926","北往南","70","大雅分局",""
"120","大雅區","大雅區東大路二段與月祥路口","闖紅燈、不依標誌、標線、號誌指示行駛、超速","24.22011","120.61528","北往南","50","大雅分局",""
"121","大雅區","大雅區雅環路一段與雅潭路四段路口","闖紅燈、不依標誌、標線、號誌指示行駛、超速","24.22118","120.65355","北往南","50","大雅分局",""
"122","大雅區","大雅區民生路四段55號","不依標誌、標線、號誌指示行駛、超速","24.23635","120.66797","雙向","60","大雅分局",""
"123","大雅區","大雅區科雅路與平和路口","闖紅燈、不依標誌、標線、號誌指示行駛、超速","24.22963","120.64325","南往北","50","大雅分局",""
"124","霧峰區","霧峰區中投公路11.5K(北上)","不依標誌、標線、號誌指示行駛、超速","24.03686","120.68279","南往北","70","霧峰分局",""
"125","霧峰區","霧峰區中投公路11.4K(南下)","不依標誌、標線、號誌指示行駛、超速","24.03744","120.68192","北往南","70","霧峰分局",""
"126","霧峰區","霧峰區中正路569-9號前","不依標誌、標線、號誌指示行駛、超速","24.04834","120.69346","南往北","60","霧峰分局",""
"127","霧峰區","霧峰區環河路一段702號","不依標誌、標線、號誌指示行駛、超速","24.08686","120.65702","東往西","60","霧峰分局",""
"128","霧峰區","霧峰區中正路1236號前","不依標誌、標線、號誌指示行駛、超速","24.07509","120.69996","南往北","50","霧峰分局",""
"129","霧峰區","霧峰區環河路一段近638號","不依標誌、標線、號誌指示行駛、超速","24.07509","120.69996","東往西","60","霧峰分局",""
"130","霧峰區","霧峰區林森路與草湖路口","闖紅燈、不依標誌、標線、號誌指示行駛、超速","24.05517","120.69852","北往南","60","霧峰分局",""
"131","大里區","大里區中投公路4.4K(北上)","不依標誌、標線、號誌指示行駛、超速","24.09063","120.66457","南往北","70","霧峰分局",""
"132","大里區","大里區中投公路4.5K(南下)","不依標誌、標線、號誌指示行駛、超速","24.08964","120.66426","北往南","70","霧峰分局",""
"133","大里區","大里區文心南路與福德路口","闖紅燈、不依標誌、標線、號誌指示行駛","24.10621","120.66584","北往南","60","霧峰分局",""
"134","大里區","大里區國光路二段505號前","不依標誌、標線、號誌指示行駛、超速","24.11161","120.67913","北往南","50","霧峰分局",""
"135","大里區","大里區國光路一段72號前","不依標誌、標線、號誌指示行駛、超速","24.09717","120.68441","南往北","50","霧峰分局",""
"136","大里區","大里區德芳南路與環中東路六段路口","闖紅燈、不依標誌、標線、號誌指示行駛","24.10056","120.6919","北往南","60","霧峰分局",""
"137","大里區","大里區環河路一段188號(東向西、中來水泥廠前)","不依標誌、標線、號誌指示行駛、超速","24.08646","120.67746","東往西","60","霧峰分局",""
"138","大里區","大里區德芳路與樹王路(爽文路)口","闖紅燈、不依標誌、標線、號誌指示行駛、超速","24.10298","120.67483","北往南","60","霧峰分局",""
"139","大里區","大里區中興路一段288號(財政部印刷廠後門前往霧峰方向)","不依標誌、標線、號誌指示行駛、超速","24.08733","120.69603","北往南","50","霧峰分局",""
"140","大里區","大里區台74線快速道路35公里處(往太平方向)","不依標誌、標線、號誌指示行駛、超速","24.06599","120.69011","南往北","80","霧峰分局",""
"141","大里區","大里區大峰路與中山路口","闖紅燈、不依標誌、標線、號誌指示行駛、超速","24.10492","120.69316","北往南","60","霧峰分局",""
"142","烏日區","烏日區中山路三段與高鐵東路口(往市區方向)","闖紅燈、不依標誌、標線、號誌指示行駛","24.10675","120.61398","東往西","70","烏日分局",""
"143","烏日區","烏日區中山路三段與學田路口","闖紅燈、不依標誌、標線、號誌指示行駛","24.10859","120.60711","西往東","70","烏日分局",""
"144","烏日區","烏日區環中路八段與福泰街口","闖紅燈、不依標誌、標線、號誌指示行駛","24.08592","120.64815","南往北","60","烏日分局",""
"145","烏日區","烏日區環中路七段與勤農巷口","闖紅燈、不依標誌、標線、號誌指示行駛","24.10508","120.65165","南往北","50","烏日分局",""
"146","烏日區","烏日區環中路六段與光明路口","闖紅燈、不依標誌、標線、號誌指示行駛","24.10693","120.65016","南往北","50","烏日分局",""
"147","烏日區","烏日區環河路二段(近春源鋼鐵公司)","不依標誌、標線、號誌指示行駛、超速","24.09387","120.6401","雙向","60","烏日分局",""
"148","烏日區","烏日區環中路八段599號前","不依標誌、標線、號誌指示行駛、超速","24.07763","120.64754","雙向","60","烏日分局",""
"149","烏日區","烏日區中山路三段917號前","不依標誌、標線、號誌指示行駛、超速","24.11208","120.59585","西往東","70","烏日分局",""
"150","烏日區","烏日區五光路與復光六巷口(五光路往中山路方向路側)","闖紅燈、不依標誌、標線、號誌指示行駛","24.09956","120.63125","東往西","50","烏日分局",""
"151","烏日區","烏日區振興街與沙田路一段路口","闖紅燈、不依標誌、標線、號誌指示行駛、超速","24.11328","120.58757","東往西","40","烏日分局",""
"152","烏日區","烏日區溪南路一段與復光二巷口","不依標誌、標線、號誌指示行駛、超速","24.09562","120.64161","東往西","50","烏日分局",""
"153","大肚區","大肚區自由路與仁德路口","闖紅燈、不依標誌、標線、號誌指示行駛","24.14694","120.54888","南往北","70","烏日分局",""
"154","大肚區","大肚區沙田路三段889巷路口","闖紅燈、不依標誌、標線、號誌指示行駛","24.16937","120.54227","北往南","70","烏日分局",""
"155","龍井區","龍井區中華路一段(台1線175.5k)","不依標誌、標線、號誌指示行駛、超速","24.17715","120.54377","南往北","70","烏日分局",""
"156","龍井區","龍井區中華路一段與茄投路口","闖紅燈、不依標誌、標線、號誌指示行駛","24.17587","120.54307","北往南","70","烏日分局",""
"157","龍井區","龍井區臺灣大道六段與水裡社路口處(台12線10.1K)","不依標誌、標線、號誌指示行駛、超速","24.19253","120.5798","東往西","70","烏日分局",""
"158","龍井區","龍井區向上路六段(中136線10.2K)","不依標誌、標線、號誌指示行駛、超速","24.20065","120.57022","東往西","60","烏日分局",""
"159","龍井區","龍井區中華路二段480號前","不依標誌、標線、號誌指示行駛、超速","24.20884","120.53987","南往北","70","烏日分局",""
"160","龍井區","龍井區臨港東路二段與西濱路二段口(西濱路往彰化方向)","不依標誌、標線、號誌指示行駛、超速","24.19845","120.51424","北往南","60","烏日分局",""
"161","龍井區","龍井區臺灣大道五段與遊園南路口","闖紅燈、不依標誌、標線、號誌指示行駛、超速","24.18645","120.58521","西往東","50","烏日分局",""
"162","清水區","清水區中華路與高美路口","闖紅燈、不依標誌、標線、號誌指示行駛","24.27818","120.57528","北往南","70","清水分局",""
"163","清水區","清水區中華路與鰲峰路口","闖紅燈、不依標誌、標線、號誌指示行駛","24.26835","120.56665","北往南","70","清水分局",""
"164","清水區","清水區中清路九段91巷口","闖紅燈、不依標誌、標線、號誌指示行駛","24.27104","120.5645","東往西","60","清水分局",""
"165","清水區","清水區臨港路六段與高美路口","闖紅燈、不依標誌、標線、號誌指示行駛","24.29711","120.56455","西往東","70","清水分局",""
"166","清水區","清水區臨港路六段與港埠路五段路口","闖紅燈、不依標誌、標線、號誌指示行駛","24.29383","120.55191","西往東","70","清水分局",""
"167","清水區","清水區臨港路七段(台17線近1K處)","不依標誌、標線、號誌指示行駛、超速","24.3033","120.58682","東往西","70","清水分局",""
"168","清水區","清水區中山路553號前","不依標誌、標線、號誌指示行駛、超速","24.29084","120.58719","北往南","70","清水分局",""
"169","清水區","清水區港埠路三段與中社路口(港埠路上、P171)","不依標誌、標線、號誌指示行駛、超速","24.27555","120.54719","北往南","60","清水分局",""
"170","清水區","清水區臨港路與港埠路口","闖紅燈、不依標誌、標線、號誌指示行駛、超速","24.29377","120.55207","北往南","70","清水分局",""
"171","清水區","清水區臨港路五段與北堤路與漁港路口","闖紅燈、不依標誌、標線、號誌指示行駛、超速","24.30896","120.52357","南往北","70","清水分局",""
"172","沙鹿區","沙鹿區向上路七段近321號","不依標誌、標線、號誌指示行駛、超速","24.20953","120.55998","雙向","60","清水分局",""
"173","沙鹿區","沙鹿區中清路七段(台10線5.5K)","不依標誌、標線、號誌指示行駛、超速","24.25014","120.58639","西往東","60","清水分局",""
"174","沙鹿區","沙鹿區三民路與七賢路口","闖紅燈、不依標誌、標線、號誌指示行駛","24.24105","120.57055","北往南","60","清水分局",""
"175","沙鹿區","沙鹿區臺灣大道七段與七賢路口","闖紅燈、不依標誌、標線、號誌指示行駛","24.23839","120.56823","西往東","60","清水分局",""
"176","沙鹿區","沙鹿區臺灣大道六段(台12線7.4K)【弘光科技大學】","闖紅燈、不依標誌、標線、號誌指示行駛","24.21731","120.58059","東往西","60","清水分局",""
"177","沙鹿區","沙鹿區臺灣大道七段(台12線6.4K)【靜宜大學】","闖紅燈、不依標誌、標線、號誌指示行駛","24.22639","120.57662","東往西","60","清水分局",""
"178","沙鹿區","沙鹿區臺灣大道七段466號前","不依標誌、標線、號誌指示行駛、超速","24.23311","120.57236","東往西","60","清水分局",""
"179","沙鹿區","沙鹿區中清路六段(台10線9.2K)【清泉所】","不依標誌、標線、號誌指示行駛、超速","24.24584","120.60981","東往西","70","清水分局",""
"180","沙鹿區","沙鹿區中清路七段(台10線6.7K)","不依標誌、標線、號誌指示行駛、超速","24.25006","120.58488","東往西","60","清水分局",""
"181","沙鹿區","沙鹿區臺灣大道七段與晉文路口","闖紅燈、不依標誌、標線、號誌指示行駛","24.2234","120.57845","東往西","60","清水分局",""
"182","沙鹿區","沙鹿區東大路二段1507號","不依標誌、標線、號誌指示行駛、超速","24.2404","120.61456","北往南","50","清水分局",""
"183","沙鹿區","沙鹿區中清路五段435巷口","不依標誌、標線、號誌指示行駛、超速","24.24342","120.61696","東往西","70","清水分局",""
"184","沙鹿區","沙鹿區臺灣大道七段與英才路口","闖紅燈、不依標誌、標線、號誌指示行駛、超速","24.23361","120.56641","北往南","60","清水分局",""
"185","梧棲區","梧棲區港埠路二段與大智路二段路口","闖紅燈、不依標誌、標線、號誌指示行駛","24.25775","120.5395","南往北","60","清水分局",""
"186","梧棲區","梧棲區中華路一段(台1線168.5K)","不依標誌、標線、號誌指示行駛、超速","24.25798","120.5396","北往南","70","清水分局",""
"187","梧棲區","梧棲區臺灣大道八段與港埠路口","闖紅燈、不依標誌、標線、號誌指示行駛、超速","24.24954","120.53626","南往北","60","清水分局",""
"188","梧棲區","梧棲區中華路一段202號前(台1線170K)","不依標誌、標線、號誌指示行駛、超速","24.22403","120.54422","北往南","70","清水分局",""
"189","大甲區","大甲區經國路與育英路口","闖紅燈、不依標誌、標線、號誌指示行駛","24.35439","120.61868","南往北","60","大甲分局",""
"190","大甲區","大甲區經國路與和平路口","闖紅燈、不依標誌、標線、號誌指示行駛","24.3567","120.6225","南往北","60","大甲分局",""
"191","大甲區","大甲區經國路與光明路口","闖紅燈、不依標誌、標線、號誌指示行駛","24.3469","120.61718","北往南","60","大甲分局",""
"192","大甲區","大甲區經國路與通天路口","闖紅燈、不依標誌、標線、號誌指示行駛","24.38249","120.65164","北往南","70","大甲分局",""
