編號,縣市,縣市代碼,行政區,科技執法種類,取締項目,設置地點（路口或路段）,座標緯度,座標經度,啟用時間,啟用民國日期,啟用日期,備註
33,臺北市,63000,中正區,路口多功能執法,闖紅燈、不停讓行人、不依規定轉彎、不依標誌標線號誌指示行駛,重慶北路與鄭州路口　,25.04939239,121.5133567,113年10月1日,113-10-01,2024-10-01,
34,臺北市,63000,內湖區,路口多功能執法,闖紅燈、不依規定轉彎、不依標誌標線號誌指示行駛,民權東路與成功路口,25.06898455,121.5908582,113年10月1日,113-10-01,2024-10-01,
35,臺北市,63000,中正區,路口多功能執法,闖紅燈、不停讓行人、不依規定轉彎、行駛公車專用道,中山南路與凱達格蘭大道口　,25.03914993,121.5172557,113年10月1日,113-10-01,2024-10-01,
36,臺北市,63000,大安區,路口多功能執法,闖紅燈、不停讓行人、不依規定轉彎、不依標誌標線號誌指示行駛,辛亥路與復興南路口,25.02126925,121.5433617,113年10月1日,113-10-01,2024-10-01,
37,臺北市,63000,大同區,路口多功能執法,闖紅燈、不停讓行人、不依規定轉彎、不依標誌標線號誌指示行駛,塔城街與鄭州路口,25.05017137,121.5105023,113年10月1日,113-10-01,2024-10-01,
38,臺北市,63000,中正區,路口多功能執法,闖紅燈、不停讓行人、不依規定轉彎、不依標誌標線號誌指示行駛,汀州路與師大路口,25.02099393,121.5253829,113年10月1日,113-10-01,2024-10-01,
39,臺北市,63000,中山區、大安區,路口多功能執法,闖紅燈、不停讓行人、不依規定轉彎、不依標誌標線號誌指示行駛,八德路與市民大道口　,25.04496467,121.5346182,113年10月1日,113-10-01,2024-10-01,
40,臺北市,63000,大安區,路口多功能執法,闖紅燈、不停讓行人、不依規定轉彎,和平東路與建國南路口　,25.02560572,121.5376842,113年10月1日,113-10-01,2024-10-01,
41,臺北市,63000,內湖區,路口多功能執法,闖紅燈、不停讓行人、不依規定轉彎、不依標誌標線號誌指示行駛,安康路與康寧路口　,25.06527744,121.6109094,113年10月1日,113-10-01,2024-10-01,
42,臺北市,63000,士林區,路口多功能執法,闖紅燈、不停讓行人、不依規定轉彎、不依標誌標線號誌指示行駛,中山北路與褔國路口　,25.10246124,121.5255293,113年10月1日,113-10-01,2024-10-01,
43,臺北市,63000,中山區、松山區、大安區,路口多功能執法,闖紅燈、不停讓行人、不依規定轉彎,市民大道與復興南路口　,25.04486686,121.5438558,113年10月1日,113-10-01,2024-10-01,
44,臺北市,63000,大安區、信義區,路口多功能執法,闖紅燈、不停讓行人、不依規定轉彎、不依標誌標線號誌指示行駛,忠孝東路與光復南路口,25.04134765,121.5576523,113年10月1日,113-10-01,2024-10-01,
45,臺北市,63000,士林區,路口多功能執法,闖紅燈、不停讓行人、不依規定轉彎、不依標誌標線號誌指示行駛,中山北路與通河街口　,25.0798414,121.5243506,113年10月1日,113-10-01,2024-10-01,
46,臺北市,63000,大同區,路口多功能執法,闖紅燈、不停讓行人、不依標誌標線號誌指示行駛,鄭州路與環河北路口,25.05078381,121.5067932,114年1月1日,114-01-01,2025-01-01,
47,臺北市,63000,中正區,路口多功能執法,闖紅燈、不停讓行人、不依規定轉彎、不依標誌標線號誌指示行駛,忠孝西路與館前路口,25.04681013,121.5150237,114年1月1日,114-01-01,2025-01-01,
48,臺北市,63000,大安區,路口多功能執法,闖紅燈、不停讓行人、不依規定轉彎、不依標誌標線號誌指示行駛,忠孝東路與復興南路口,25.04162274,121.5437861,114年1月1日,114-01-01,2025-01-01,
49,臺北市,63000,松山區,路口多功能執法,闖紅燈、不停讓行人、不依規定轉彎、不依標誌標線號誌指示行駛、路口未淨空,民權東路與敦化北路口,25.06144514,121.5507226,114年1月1日,114-01-01,2025-01-01,
50,臺北市,63000,中山區、中正區,路口多功能執法,闖紅燈、不停讓行人、不依規定轉彎、不依標誌標線號誌指示行駛,市民大道與金山北路口,25.04604014,121.5307193,114年1月1日,114-01-01,2025-01-01,
51,臺北市,63000,中山區,路口多功能執法,闖紅燈、不停讓行人、不依規定轉彎、不依標誌標線號誌指示行駛,民族東路與松江路口,25.06821988,121.5331995,114年1月1日,114-01-01,2025-01-01,
52,臺北市,63000,大同區,路口多功能執法,闖紅燈、不停讓行人、不依規定轉彎,民權西路與重慶北路口,25.0630166,121.5135853,114年1月1日,114-01-01,2025-01-01,
53,臺北市,63000,中山區、松山區,路口多功能執法,闖紅燈、不停讓行人、不依規定轉彎、不依標誌標線號誌指示行駛,民權東路與復興北路口,25.06221626,121.5442237,114年1月1日,114-01-01,2025-01-01,
54,臺北市,63000,中山區,路口多功能執法,闖紅燈、不停讓行人、不依規定轉彎、不依標誌標線號誌指示行駛,長安東路與建國北路口,25.04840467,121.5367084,114年1月1日,114-01-01,2025-01-01,
55,臺北市,63000,中正區、大安區,路口多功能執法,闖紅燈、不停讓行人、不依規定轉彎、不依標誌標線號誌指示行駛、行駛公車專用道,信義路與新生南路口,25.03358945,121.5326898,114年1月1日,114-01-01,2025-01-01,
56,臺北市,63000,大安區,路口多功能執法,闖紅燈、不停讓行人、不依標誌標線號誌指示行駛,仁愛路與復興南路口,25.03795857,121.5436862,114年1月1日,114-01-01,2025-01-01,
57,臺北市,63000,萬華區,路口多功能執法,闖紅燈、不停讓行人、不依規定轉彎、不依標誌標線號誌指示行駛,西園路與西藏路口,25.02872203,121.4956172,114年1月1日,114-01-01,2025-01-01,
58,臺北市,63000,大安區,路口多功能執法,闖紅燈、不停讓行人、不依規定轉彎,信義路與敦化南路口,25.03325056,121.5487968,114年1月1日,114-01-01,2025-01-01,
59,臺北市,63000,大同區、萬華區,路口多功能執法,闖紅燈、不停讓行人、不依規定轉彎、不依標誌標線號誌指示行駛,中華路與忠孝西路口,25.04815736,121.5099593,114年1月1日,114-01-01,2025-01-01,
60,臺北市,63000,中山區,路口多功能執法,闖紅燈、不停讓行人、不依規定轉彎、不依標誌標線號誌指示行駛,長安東路與新生北路口,25.04825909,121.5296169,114年1月1日,114-01-01,2025-01-01,
61,臺北市,63000,中山區、中正區,路口多功能執法,闖紅燈、不停讓行人、不依標誌標線號誌指示行駛,天津街與市民大道口,25.04792636,121.5223845,114年1月1日,114-01-01,2025-01-01,
62,臺北市,63000,中正區、大安區,路口多功能執法,闖紅燈、不停讓行人、不依規定轉彎、不依標誌標線號誌指示行駛、行駛公車專用道,忠孝東路與新生南路口,25.04235858,121.5328684,114年1月1日,114-01-01,2025-01-01,
63,臺北市,63000,萬華區、中正區,路口多功能執法,闖紅燈、不停讓行人、不依規定轉彎、不依標誌標線號誌指示行駛,中華路與愛國西路口,25.03745938,121.5069172,114年1月1日,114-01-01,2025-01-01,
64,臺北市,63000,大同區,路口多功能執法,闖紅燈、不停讓行人、不依規定轉彎、不依標誌標線號誌指示行駛,民族西路與承德路口,25.06854074,121.5184072,114年1月1日,114-01-01,2025-01-01,
65,臺北市,63000,中山區,路口多功能執法,闖紅燈、不停讓行人、不依標誌標線號誌指示行駛,民權東路與新生北路口,25.06264353,121.5277091,114年1月1日,114-01-01,2025-01-01,
66,臺北市,63000,內湖區,路口多功能執法,闖紅燈、不停讓行人、不依規定轉彎、不依標誌標線號誌指示行駛,南京東路與舊宗路口,25.05706215,121.58147,114年1月1日,114-01-01,2025-01-01,
67,臺北市,63000,松山區、大安區、信義區,路口多功能執法,闖紅燈、不停讓行人、不依規定轉彎、不依標誌標線號誌指示行駛,市民大道與光復南路口,25.04511635,121.5577642,114年1月1日,114-01-01,2025-01-01,
68,臺北市,63000,中正區,路口多功能執法,闖紅燈、不停讓行人、不依規定轉彎、不依標誌標線號誌指示行駛,仁愛路與金山南路口,25.03824062,121.5283269,114年1月1日,114-01-01,2025-01-01,
69,臺北市,63000,中山區,路口多功能執法,闖紅燈、不停讓行人、不依規定轉彎,中山北路與民族西路口,25.06833152,121.5278631,114年1月1日,114-01-01,2025-01-01,
70,臺北市,63000,大安區,路口多功能執法,闖紅燈、不停讓行人、不依規定轉彎、不依標誌標線號誌指示行駛,信義路與復興南路口,25.03337355,121.5436025,114年1月1日,114-01-01,2025-01-01,
71,臺北市,63000,士林區,路口多功能執法,闖紅燈、不停讓行人、不依規定轉彎、不依標誌標線號誌指示行駛、違規停車、路口未淨空,基河路與劍潭路口,25.08419937,121.5247298,114年1月1日,114-01-01,2025-01-01,
72,臺北市,63000,松山區,路口多功能執法,闖紅燈、不停讓行人、不依規定轉彎、路口未淨空,南京東路與敦化北路口,25.05174431,121.5489487,114年1月1日,114-01-01,2025-01-01,
73,臺北市,63000,中正區、大安區,路口多功能執法,闖紅燈、不停讓行人、不依規定轉彎、不依標誌標線號誌指示行駛、行駛公車專用道,仁愛路與新生南路口,25.03815158,121.5327967,114年1月1日,114-01-01,2025-01-01,
74,臺北市,63000,中山區、松山區,路口多功能執法,闖紅燈、車輛不停讓行人、不依規定轉彎、不依標誌標線號誌指示行駛、違規停車,南京東路與復興北路口,25.0519,121.5442,115年3月1日,115-03-01,2026-03-01,
75,臺北市,63000,信義區,違規停車科技執法,違規停車,市府轉運站前(忠孝東路五段),25.04105428,121.5649588,108年11月1日,108-11-01,2019-11-01,
76,臺北市,63000,中正區,違規停車科技執法,違規停車,臺北車站北側門(市民大道一段),25.04844283,121.5174088,110年1月4日,110-01-04,2021-01-04,
77,臺北市,63000,信義區,違規停車科技執法,違規停車,吳興街220巷,25.02735369,121.5627162,110年1月4日,110-01-04,2021-01-04,
78,臺北市,63000,中山區,違規停車科技執法,違規停車,中山北路二段92號至96號,25.05882337,121.5227115,110年3月29日,110-03-29,2021-03-29,
79,臺北市,63000,南港區,違規停車科技執法,違規停車,臺北轉運站前(市民大道一段),25.04881098,121.5174283,111年3月1日,111-03-01,2022-03-01,
80,臺北市,63000,大同區,違規停車科技執法,違規停車,南港車站前(市民大道八段),25.05318848,121.607241,111年3月1日,111-03-01,2022-03-01,
81,臺北市,63000,內湖區,違規停車科技執法,違規停車,內湖路一段739號前,25.07914263,121.5779114,111年3月1日,111-03-01,2022-03-01,
82,臺北市,63000,中正區,違規停車科技執法,違規停車,羅斯福路四段68號至108巷前,25.01462491,121.534286,111年7月1日,111-07-01,2022-07-01,
83,臺北市,63000,北投區,違規停車科技執法,違規停車,臺北榮總醫院周邊(石牌路二段與立農街口周邊及石牌路二段與天母西路口周邊),25.11874697,121.519607,111年12月1日,111-12-01,2022-12-01,
84,臺北市,63000,信義區,違規停車科技執法,違規停車,臺北大巨蛋前、忠孝東路四段,25.04147083,121.5590599,113年2月23日,113-02-23,2024-02-23,
85,臺北市,63000,大安區,違規停車科技執法,違規停車,中山南路與常德街口,25.04080573,121.5180159,114年1月1日,114-01-01,2025-01-01,
86,臺北市,63000,中正區,違規停車科技執法,違規停車,臺北市立殯儀館(懷愛館)、辛亥路三段,25.01458279,121.5522031,114年8月1日,114-08-01,2025-08-01,
87,臺北市,63000,中正區,公車站區科技執法,違規停車,公車站區-臺大醫院站(往北),25.041542,121.518618,115年3月1日,115-03-01,2026-03-01,
88,臺北市,63000,中正區,公車站區科技執法,違規停車,公車站區-捷運台大醫院站(往北),25.04185,121.516314,115年3月1日,115-03-01,2026-03-01,
89,臺北市,63000,萬華區,公車站區科技執法,違規停車,公車站區-中華路北站(往南),25.04462,121.50869,115年3月1日,115-03-01,2026-03-01,
90,臺北市,63000,信義區,公車站區科技執法,違規停車,公車站區-松山商職(福德)(往西),25.03638,121.578746,115年3月1日,115-03-01,2026-03-01,
91,臺北市,63000,信義區,公車站區科技執法,違規停車、闖紅燈,公車站區-松山高中(松隆)(往北),25.04379,121.56759,115年3月1日,115-03-01,2026-03-01,
92,臺北市,63000,士林區、中山區,區間平均速率科技執法,區間測速及跨越雙白線 ,自強隧道,25.090937,121.549277,108年9月1日,108-09-01,2019-09-01,109年4月停用；111年2月21日重啟
93,臺北市,63000,大安區、文山區,區間平均速率科技執法,區間測速及跨越雙白線 ,辛亥隧道,25.011869,121.555137,109年1月1日,109-01-01,2020-01-01,109年4月停用；111年2月21日重啟
94,臺北市,63000,中正區、中山區,高架道路多功能科技執法,逾10噸大貨車違規行駛、機車違規行駛及行駛路肩,市民高架道路(近臺北車站及臺北轉運站上方),25.04856761,121.517785,109年1月1日,109-01-01,2020-01-01,
95,臺北市,63000,大安區,高架道路多功能科技執法,逾10噸大貨車違規行駛、機車違規行駛及不依標誌標線號誌指示行駛,建國高架道路(市民大道上方),25.04444302,121.5366082,110年3月29日,110-03-29,2021-03-29,
