設備編號,縣市,行政區,科技執法種類,取締項目,設置地點,座標緯度,座標經度,拍攝方向,速限,轄區分局,備註
31,彰化縣,大村鄉,路口多功能執法,超速、闖紅燈,山腳路與學府路口,23.990818,120.584848,南北雙向,40,員林分局,
32,彰化縣,大村鄉,路口多功能執法,超速、闖紅燈,中山路1段與美港路口,23.978358,120.571509,南向北,60,員林分局,
33,彰化縣,溪湖鎮,路口多功能執法,超速、闖紅燈,員鹿路2段與忠溪路口,23.956186,120.486681,東西雙向,60,溪湖分局,
34,彰化縣,溪湖鎮,路口多功能執法,闖紅燈,彰水路3段與信善街口,23.965151,120.48005,北向南,50,溪湖分局,
35,彰化縣,溪湖鎮,路口多功能執法,闖紅燈、不停讓行人,東環路與員鹿路2段路口,23.957644,120.482767,南北雙向,60,溪湖分局,
36,彰化縣,埔鹽鄉,路口多功能執法,超速、闖紅燈,員鹿路3段與大新路口(彰39鄉道),24.015473,120.45266,東西雙向,50,溪湖分局,
37,彰化縣,埔心鄉,路口多功能執法,超速、闖紅燈,中正路1段與武聖路口(縣道),23.951969,120.550513,東西雙向,60,溪湖分局,
38,彰化縣,埔心鄉,路口多功能執法,超速、闖紅燈,員鹿路5段與羅厝路3段口,23.950142,120.517469,東西雙向,60,溪湖分局,
39,彰化縣,埔心鄉,路口多功能執法,超速、闖紅燈,柳橋東路與瑤鳳路2段416巷口,23.966743,120.541412,東向西,50,溪湖分局,
40,彰化縣,埔心鄉,路口多功能執法,超速、闖紅燈,埔新路與瑤鳳路3段口,23.962378,120.536413,北向南,60,溪湖分局,
41,彰化縣,社頭鄉,路口多功能執法,超速、闖紅燈,東彰路7段與湳底路口(縣道),23.911494,120.570501,北向南,70,田中分局,
42,彰化縣,社頭鄉,路口多功能執法,超速、闖紅燈、不停讓行人,中山路1段與和平三路口(縣道),23.893693,120.583806,南北雙向,60,田中分局,
43,彰化縣,社頭鄉,路口多功能執法,超速、闖紅燈,員集路(縣141線)與崙饒路口(縣道),23.935686,120.576908,南北雙向,50,田中分局,
44,彰化縣,社頭鄉,路口多功能執法,超速、闖紅燈,中山路3段與圳尾巷口,23.918741,120.58451,北向南,60,田中分局,
45,彰化縣,二水鄉,路口多功能執法,超速,員集路1段與水森路口,23.80027,120.654914,西向東,50,田中分局,
46,彰化縣,北斗鎮,路口多功能執法,超速、闖紅燈、不停讓行人,中山路2段與文苑路1段路口,23.876489,120.519933,南北雙向,50,北斗分局,
47,彰化縣,北斗鎮,路口多功能執法,超速、闖紅燈,斗中路與拓農路口,23.869878,120.554986,東向西,60,北斗分局,
48,彰化縣,田尾鄉,路口多功能執法,超速、闖紅燈,中山路2段與公園東路口,23.896323,120.533883,北向南,70,北斗分局,
49,彰化縣,埤頭鄉,路口多功能執法,超速,斗苑東路313號前,23.888148,120.487366,西向東,60,北斗分局,
50,彰化縣,埤頭鄉,路口多功能執法,闖紅燈,斗苑東路與埔尾路口,23.888148,120.487366,西向東,60,北斗分局,
51,彰化縣,芳苑鄉,路口多功能執法,超速、闖紅燈,功湖北路1段與草漢路草1段口,23.961081,120.382273,東向西,60,芳苑分局,
52,彰化縣,竹塘鄉,路口多功能執法,超速、闖紅燈,中央路1段與東陽路2段口,23.847758,120.400268,北向南,70,芳苑分局,
53,彰化縣,溪州鄉,路口多功能執法,超速、闖紅燈,中山路1段與彰水路1段口,23.826359,120.463726,南北雙向,50,北斗分局,
54,彰化縣,溪州鄉,路口多功能執法,超速、闖紅燈,中山路3段與莒光路口,23.858393,120.503488,南向北,70,北斗分局,
55,彰化縣,二林鎮,路口多功能執法,闖紅燈、不停讓行人,斗苑路4段與太平路1段口,23.899427,120.378561,東西雙向,50,芳苑分局,
56,彰化縣,二林鎮,路口多功能執法,超速、跨越雙黃線、未禮讓行人,二城路6號前,23.889493,120.359569,南北雙向,50,芳苑分局,
57,彰化縣,大城鄉,路口多功能執法,超速、闖紅燈,南平路與上和路3段口,23.856261,120.308871,西向東,50,芳苑分局,
